"review_file","original_path","extension","bytes"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__prop_grounding_contact_overlay.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\prop_grounding_contact_overlay.png",".png","50198"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__road_edge_bottom_curb_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\road_edge_bottom_curb_tile.png",".png","27521"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__road_edge_top_curb_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\road_edge_top_curb_tile.png",".png","27531"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__sidewalk_corner_transition.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\sidewalk_corner_transition.png",".png","19538"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__sidewalk_driveway_cut.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\sidewalk_driveway_cut.png",".png","6910"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__sidewalk_seam_variation.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\sidewalk_seam_variation.png",".png","8027"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__sidewalk_tile_bottom_curb.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\sidewalk_tile_bottom_curb.png",".png","8057"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__sidewalk_tile_top_curb.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\sidewalk_tile_top_curb.png",".png","7595"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__silhouette_readability_ground_overlay.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\silhouette_readability_ground_overlay.png",".png","77076"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__soft_road_shadow_overlay.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\soft_road_shadow_overlay.png",".png","1376"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__street_rhythm_composition_overlay.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\street_rhythm_composition_overlay.png",".png","136719"
"BikeBrowserWorld__Assets__Backgrounds__Derived__NeighborhoodFoundation__warm_dusk_light_flow_overlay.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\NeighborhoodFoundation\warm_dusk_light_flow_overlay.png",".png","53299"
"BikeBrowserWorld__Assets__Backgrounds__Derived__soft_shadow_large.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\soft_shadow_large.png",".png","7426"
"BikeBrowserWorld__Assets__Backgrounds__Derived__soft_shadow_medium.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\soft_shadow_medium.png",".png","4119"
"BikeBrowserWorld__Assets__Backgrounds__Derived__soft_shadow_small.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Derived\soft_shadow_small.png",".png","2230"
"BikeBrowserWorld__Assets__Backgrounds__desert_ground_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\desert_ground_tile.png",".png","21407"
"BikeBrowserWorld__Assets__Backgrounds__desert_sky_day.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\desert_sky_day.png",".png","1793258"
"BikeBrowserWorld__Assets__Backgrounds__desert_sky_dusk.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\desert_sky_dusk.png",".png","1625325"
"BikeBrowserWorld__Assets__Backgrounds__desert_sky_night.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\desert_sky_night.png",".png","1752633"
"BikeBrowserWorld__Assets__Backgrounds__garage_ceiling.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\garage_ceiling.png",".png","411118"
"BikeBrowserWorld__Assets__Backgrounds__garage_floor_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\garage_floor_tile.png",".png","17481"
"BikeBrowserWorld__Assets__Backgrounds__garage_interior_wall.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\garage_interior_wall.png",".png","1804607"
"BikeBrowserWorld__Assets__Backgrounds__lab_floor_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\lab_floor_tile.png",".png","15759"
"BikeBrowserWorld__Assets__Backgrounds__lab_interior_wall.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\lab_interior_wall.png",".png","1552582"
"BikeBrowserWorld__Assets__Backgrounds__mine_floor_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\mine_floor_tile.png",".png","20436"
"BikeBrowserWorld__Assets__Backgrounds__mine_interior_wall.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\mine_interior_wall.png",".png","1997898"
"BikeBrowserWorld__Assets__Backgrounds__mountain_silhouette_back.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\mountain_silhouette_back.png",".png","369893"
"BikeBrowserWorld__Assets__Backgrounds__mountain_silhouette_mid.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\mountain_silhouette_mid.png",".png","493320"
"BikeBrowserWorld__Assets__Backgrounds__pavement_sidewalk_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\pavement_sidewalk_tile.png",".png","17518"
"BikeBrowserWorld__Assets__Backgrounds__Raw__backgrounds_atlas_raw.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\Raw\backgrounds_atlas_raw.png",".png","2776457"
"BikeBrowserWorld__Assets__Backgrounds__river_backdrop.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\river_backdrop.png",".png","2062043"
"BikeBrowserWorld__Assets__Backgrounds__road_asphalt_tile.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Backgrounds\road_asphalt_tile.png",".png","18036"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-1.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-1.png",".png","9098"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-10.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-10.png",".png","8598"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-11.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-11.png",".png","8698"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-12.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-12.png",".png","8570"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-13.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-13.png",".png","8192"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-14.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-14.png",".png","8156"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-15.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-15.png",".png","7868"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-16.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-16.png",".png","8170"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-2.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-2.png",".png","9198"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-3.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-3.png",".png","8883"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-4.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-4.png",".png","9090"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-5.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-5.png",".png","8626"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-6.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-6.png",".png","8614"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-7.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-7.png",".png","8777"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-8.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-8.png",".png","8750"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__Charlie_idle-9.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\Charlie_idle-9.png",".png","8484"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__raw-sheet-clean.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\raw-sheet-clean.png",".png","1034838"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__raw-sheet.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\raw-sheet.png",".png","1969571"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle__sheet-transparent.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle\sheet-transparent.png",".png","123505"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_idle.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_idle.png",".png","123505"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-1.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-1.png",".png","9522"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-10.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-10.png",".png","8835"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-11.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-11.png",".png","9093"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-12.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-12.png",".png","8546"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-13.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-13.png",".png","8212"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-14.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-14.png",".png","8553"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-15.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-15.png",".png","8703"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-16.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-16.png",".png","8377"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-2.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-2.png",".png","9759"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-3.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-3.png",".png","10042"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-4.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-4.png",".png","9553"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-5.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-5.png",".png","8474"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-6.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-6.png",".png","8764"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-7.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-7.png",".png","9201"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-8.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-8.png",".png","8583"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__Charlie_talk-9.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\Charlie_talk-9.png",".png","8512"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__raw-sheet-clean.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\raw-sheet-clean.png",".png","1041881"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__raw-sheet.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\raw-sheet.png",".png","2001244"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk__sheet-transparent.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk\sheet-transparent.png",".png","128518"
"BikeBrowserWorld__Assets__Characters__Charlie__Charlie_talk.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Charlie\Charlie_talk.png",".png","128518"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-1.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-1.png",".png","9582"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-10.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-10.png",".png","8696"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-11.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-11.png",".png","8649"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-12.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-12.png",".png","8593"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-13.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-13.png",".png","8295"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-14.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-14.png",".png","8169"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-15.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-15.png",".png","8273"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-16.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-16.png",".png","8210"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-2.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-2.png",".png","9649"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-3.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-3.png",".png","9606"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-4.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-4.png",".png","9406"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-5.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-5.png",".png","8808"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-6.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-6.png",".png","8785"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-7.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-7.png",".png","8890"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-8.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-8.png",".png","8864"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__Cole_idle-9.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\Cole_idle-9.png",".png","8612"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__raw-sheet-clean.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\raw-sheet-clean.png",".png","984963"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__raw-sheet.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\raw-sheet.png",".png","1932421"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle__sheet-transparent.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle\sheet-transparent.png",".png","126813"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_idle.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_idle.png",".png","126813"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-1.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-1.png",".png","9286"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-10.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-10.png",".png","9018"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-11.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-11.png",".png","8892"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-12.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-12.png",".png","9036"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-13.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-13.png",".png","7635"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-14.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-14.png",".png","8634"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-15.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-15.png",".png","8362"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-16.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-16.png",".png","8355"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-2.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-2.png",".png","9933"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-3.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-3.png",".png","9786"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-4.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-4.png",".png","9674"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-5.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-5.png",".png","8846"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-6.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-6.png",".png","9275"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-7.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-7.png",".png","9456"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-8.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-8.png",".png","9242"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__Cole_talk-9.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\Cole_talk-9.png",".png","8455"
"BikeBrowserWorld__Assets__Characters__Cole__Cole_talk__raw-sheet-clean.png","C:\dev\bikebrowser\BikeBrowserWorld\Assets\Characters\Cole\Cole_talk\raw-sheet-clean.png",".png","1021540"
